Column1,Column2,Column3,,
,,Architecture ,,
,Architectural Engineering ,Architecture,,
,Architectural History and Criticism ,Architecture,,
,Architectural Technology ,Architecture,,
,Construction Engineering ,Architecture,,
,Cultural Resource Management and Policy Analysis ,Architecture,,
,Environmental Design ,Architecture,,
,Historic Preservation and Conservation ,Architecture,,
,Interior Architecture ,Architecture,,
,Landscape Architecture ,Architecture,,
,"Urban, Community and Regional Planning ",Architecture,,
,Other Architecture ,Architecture,,
,, ,,
,,Arts and Humanities ,,
,African Languages and Societies ,Arts and Humanities,,
,American Studies ,Arts and Humanities,,
American Film Studies ,American Studies,Arts and Humanities,,
American Literature ,American Studies,Arts and Humanities,,
American Material Culture ,American Studies,Arts and Humanities,,
American Popular Culture ,American Studies,Arts and Humanities,,
Other American Studies,American Studies,Arts and Humanities,,
,Art and Design ,Arts and Humanities,,
Art and Materials Conservation ,Art and Design,Arts and Humanities,,
Book and Paper ,Art and Design,Arts and Humanities,,
Fashion Design ,Art and Design,Arts and Humanities,,
Game Design ,Art and Design,Arts and Humanities,,
Graphic Design ,Art and Design,Arts and Humanities,,
Illustration ,Art and Design,Arts and Humanities,,
Interactive Arts ,Art and Design,Arts and Humanities,,
Interdisciplinary Arts and Media ,Art and Design,Arts and Humanities,,
Product Design ,Art and Design,Arts and Humanities,,
,Art Practice ,Arts and Humanities,,
,Audio Arts and Acoustics ,Arts and Humanities,,
,Australian Studies ,Arts and Humanities,,
,Celtic Studies ,Arts and Humanities,,
,Chinese Studies ,Arts and Humanities,,
,Classics ,Arts and Humanities,,
"Ancient History, Greek and Roman through Late Antiquity ",Classics,Arts and Humanities,,
Ancient Philosophy ,Classics,Arts and Humanities,,
Byzantine and Modern Greek ,Classics,Arts and Humanities,,
Classical Archaeology and Art History ,Classics,Arts and Humanities,,
Classical Literature and Philology ,Classics,Arts and Humanities,,
Indo-European Linguistics and Philology ,Classics,Arts and Humanities,,
Other Classics ,Classics,Arts and Humanities,,
,Comparative Literature ,Arts and Humanities,,
,Creative Writing ,Arts and Humanities,,
Fiction ,Creative Writing,Arts and Humanities,,
Nonfiction ,Creative Writing,Arts and Humanities,,
